"unigram","bigram","freq"
"for","what",33
"get","on",33
"how","the",33
"if","its",33
"if","there",33
"im","on",33
"in","on",33
"is","great",33
"is","really",33
"let","you",33
"like","my",33
"living","in",33
"many","times",33
"me","but",33
"more","about",33
"my","eyes",33
"never","be",33
"no","more",33
"now","you",33
"on","saturday",33
"proud","of",33
"right","to",33
"say","i",33
"seen","the",33
"shout","out",33
"so","happy",33
"so","to",33
"the","car",33
"the","hell",33
"the","sky",33
"the","summer",33
"they","could",33
"things","to",33
"to","everyone",33
"very","much",33
"whats","the",33
"will","always",33
"will","never",33
"you","but",33
"you","love",33
"you","say",33
"a","picture",32
"all","those",32
"and","an",32
"and","are",32
"and","of",32
"are","on",32
"as","to",32
"back","of",32
"be","done",32
"be","so",32
"because","you",32
"behind","the",32
"but","also",32
"but","still",32
"but","what",32
"didnt","know",32
"done","with",32
"down","and",32
"felt","like",32
"gave","me",32
"good","thing",32
"home","from",32
"i","already",32
"i","bet",32
"i","loved",32
"i","told",32
"if","she",32
"in","for",32
"in","new",32
"is","and",32
"is","nothing",32
"it","at",32
"it","right",32
"just","dont",32
"list","of",32
"love","this",32
"me","at",32
"my","face",32
"my","hair",32
"my","house",32
"only","the",32
"other","people",32
"other","than",32
"over","to",32
"place","to",32
"put","it",32
"said","to",32
"say","it",32
"thanks","so",32
"that","day",32
"that","had",32
"them","i",32
"they","do",32
"they","want",32
"think","im",32
"this","and",32
"this","summer",32
"to","walk",32
"very","good",32
"were","not",32
"where","we",32
"world","and",32
"a","car",31
"a","family",31
"a","major",31
"and","still",31
"are","looking",31
"at","it",31
"at","night",31
"be","back",31
"but","a",31
"but","as",31
"but","she",31
"care","of",31
"cup","of",31
"days","of",31
"do","to",31
"enjoy","the",31
"excited","for",31
"filled","with",31
"found","out",31
"from","your",31
"happy","hour",31
"have","one",31
"he","did",31
"he","will",31
"i","cannot",31
"i","swear",31
"i","tried",31
"i","were",31
"in","time",31
"is","gonna",31
"it","be",31
"might","have",31
"my","brother",31
"my","sister",31
"oh","and",31
"one","i",31
"out","i",31
"over","and",31
"put","the",31
"so","they",31
"sometimes","i",31
"that","all",31
"the","company",31
"the","final",31
"the","main",31
"the","ones",31
"the","store",31
"the","wrong",31
"theres","no",31
"they","would",31
"things","are",31
"this","day",31
"to","add",31
"to","feel",31
"to","for",31
"to","just",31
"to","some",31
"trip","to",31
"us","a",31
"was","also",31
"were","going",31
"when","im",31
"when","people",31
"while","the",31
"who","will",31
"why","not",31
"will","do",31
"would","not",31
"year","and",31
"you","must",31
"you","with",31
"a","bunch",30
"a","pretty",30
"a","problem",30
"a","story",30
"about","your",30
"all","in",30
"an","old",30
"and","ill",30
"and","only",30
"as","she",30
"at","first",30
"at","her",30
"at","our",30
"be","like",30
"be","my",30
"become","a",30
"both","of",30
"day","for",30
"do","u",30
"dont","care",30
"dont","even",30
"ended","up",30
"find","it",30
"food","and",30
"forget","to",30
"great","time",30
"haha","i",30
"have","more",30
"here","i",30
"how","about",30
"i","came",30
"into","my",30
"is","at",30
"is","awesome",30
"it","really",30
"ive","seen",30
"kinds","of",30
"last","time",30
"me","feel",30
"me","if",30
"me","im",30
"moment","when",30
"name","of",30
"not","like",30
"not","my",30
"of","things",30
"one","for",30
"only","a",30
"saw","the",30
"state","of",30
"still","in",30
"the","air",30
"the","bus",30
"the","church",30
"the","greatest",30
"the","kind",30
"the","kitchen",30
"the","light",30
"today","and",30
"two","of",30
"us","in",30
"was","like",30
"we","know",30
"week","i",30
"what","about",30
"who","i",30
"within","the",30
"you","as",30
"you","really",30
"you","you",30
"youre","welcome",30
"a","certain",29
"a","part",29
"addition","to",29
"again","and",29
"and","dont",29
"and","most",29
"are","also",29
"back","into",29
"been","to",29
"began","to",29
"buy","a",29
"can","help",29
"come","in",29
"day","at",29
"days","and",29
"for","lunch",29
"from","me",29
"from","you",29
"get","this",29
"go","out",29
"have","done",29
"help","you",29
"history","of",29
"how","it",29
"important","to",29
"in","chicago",29
"it","may",29
"just","in",29
"look","for",29
"made","my",29
"matter","how",29
"me","as",29
"my","kids",29
"never","been",29
"of","him",29
"of","new",29
"of","some",29
"of","work",29
"off","and",29
"on","an",29
"opportunity","to",29
"or","in",29
"person","who",29
"rt","if",29
"set","up",29
"so","this",29
"some","great",29
"soon","as",29
"story","of",29
"tend","to",29
"that","when",29
"the","event",29
"the","money",29
"the","person",29
"the","phone",29
"the","reason",29
"the","years",29
"these","days",29
"to","pick",29
"to","those",29
"was","no",29
"what","would",29
"with","one",29
"worth","it",29
"years","old",29
"you","mean",29
"a","blast",28
"a","guy",28
"a","person",28
"a","thing",28
"ahead","of",28
"all","your",28
"always","be",28
"an","awesome",28
"and","said",28
"and","take",28
"are","doing",28
"are","now",28
"at","one",28
"attempt","to",28
"before","you",28
"best","friend",28
"called","the",28
"coming","out",28
"congrats","to",28
"did","a",28
"doesnt","have",28
"even","the",28
"for","minutes",28
"for","now",28
"from","this",28
"hate","when",28
"having","to",28
"here","at",28
"how","did",28
"i","use",28
"if","a",28
"if","im",28
"im","pretty",28
"inside","the",28
"is","coming",28
"it","didnt",28
"it","off",28
"it","or",28
"just","finished",28
"keep","up",28
"me","it",28
"members","of",28
"night","i",28
"or","two",28
"out","at",28
"picture","of",28
"put","on",28
"rt","the",28
"see","my",28
"seems","like",28
"series","of",28
"so","he",28
"some","more",28
"sure","i",28
"that","to",28
"the","blog",28
"the","following",28
"the","life",28
"the","news",28
"the","question",28
"the","uk",28
"the","white",28
"the","worlds",28
"them","all",28
"them","the",28
"thing","to",28
"thought","of",28
"through","a",28
"time","the",28
"to","avoid",28
"to","catch",28
"to","deal",28
"to","mention",28
"to","post",28
"to","remember",28
"to","send",28
"to","vote",28
"to","wear",28
"was","pretty",28
"we","go",28
"week","and",28
