"unigram","BigramTM","TrigramTM","freq"
"a","good","thing",7
"a","group","of",7
"a","list","of",7
"a","man","who",7
"a","real","man",7
"a","result","of",7
"able","to","make",7
"about","the","new",7
"about","to","be",7
"all","sorts","of",7
"and","all","that",7
"and","decided","to",7
"and","i","cant",7
"and","i","would",7
"and","one","of",7
"and","so","on",7
"and","that","he",7
"and","this","is",7
"any","of","the",7
"are","supposed","to",7
"are","you","doing",7
"are","you","going",7
"around","the","house",7
"as","i","can",7
"as","i","was",7
"as","if","i",7
"as","it","is",7
"as","one","of",7
"as","part","of",7
"at","least","for",7
"at","some","point",7
"at","the","bottom",7
"attention","to","the",7
"aware","of","the",7
"back","and","forth",7
"be","in","a",7
"be","one","of",7
"because","they","are",7
"beginning","of","the",7
"bottom","of","the",7
"but","i","had",7
"but","i","just",7
"but","if","you",7
"but","in","the",7
"but","that","doesnt",7
"but","there","are",7
"but","when","you",7
"can","tell","you",7
"couple","of","days",7
"do","you","want",7
"dont","know","what",7
"dont","think","i",7
"excited","about","the",7
"family","and","friends",7
"follow","me","back",7
"follow","me","i",7
"follow","me","please",7
"for","me","i",7
"for","the","best",7
"for","the","ff",7
"for","the","great",7
"for","the","last",7
"for","the","season",7
"for","you","i",7
"getting","to","know",7
"go","to","sleep",7
"going","to","make",7
"good","to","be",7
"had","to","go",7
"had","to","have",7
"half","of","the",7
"hanging","out","with",7
"has","always","been",7
"have","to","say",7
"have","to","worry",7
"he","has","a",7
"hey","thanks","for",7
"hope","to","see",7
"hope","you","have",7
"how","can","we",7
"how","i","feel",7
"how","much","you",7
"i","am","in",7
"i","am","still",7
"i","can","say",7
"i","could","see",7
"i","dont","care",7
"i","dont","understand",7
"i","get","to",7
"i","guess","i",7
"i","hope","to",7
"i","just","had",7
"i","know","im",7
"i","know","what",7
"i","miss","you",7
"i","must","say",7
"i","should","have",7
"i","think","so",7
"i","told","you",7
"i","tried","to",7
"i","was","looking",7
"i","woke","up",7
"i","wonder","what",7
"i","would","like",7
"if","you","can",7
"if","you","need",7
"im","not","even",7
"in","a","large",7
"in","other","words",7
"in","the","back",7
"in","the","book",7
"in","the","city",7
"in","the","game",7
"in","the","sun",7
"in","the","uk",7
"in","this","world",7
"is","gonna","be",7
"is","hard","to",7
"is","just","a",7
"is","like","a",7
"is","there","a",7
"is","what","it",7
"it","doesnt","matter",7
"it","has","a",7
"it","has","to",7
"it","or","not",7
"it","to","the",7
"it","was","that",7
"its","a","good",7
"its","hard","to",7
"its","just","a",7
"just","need","to",7
"just","want","to",7
"keep","up","the",7
"keep","up","with",7
"know","that","i",7
"known","as","the",7
"last","day","of",7
"last","night","was",7
"like","to","be",7
"looking","at","the",7
"love","and","kindness",7
"made","it","to",7
"make","a","difference",7
"make","it","a",7
"make","you","feel",7
"may","not","be",7
"me","and","my",7
"me","if","you",7
"me","it","was",7
"me","to","be",7
"me","to","come",7
"more","of","a",7
"most","of","my",7
"much","as","i",7
"my","head","i",7
"new","york","city",7
"next","to","the",7
"no","matter","how",7
"nothing","to","do",7
"of","his","own",7
"of","the","many",7
"of","the","same",7
"off","in","the",7
"off","to","the",7
"on","the","blog",7
"on","the","side",7
"one","day","i",7
"only","a","few",7
"only","thing","that",7
"or","at","least",7
"out","how","to",7
"people","who","are",7
"point","of","view",7
"power","of","the",7
"right","now","i",7
"say","that","i",7
"seems","to","me",7
"should","be","a",7
